id_ocorrencia,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,municipio,tipo_ocorrencia,descricao,impacto_producao,arquivo_origem,data
O0001,F001,10/03/2026,Oeste 1,Água Legal,Mississipi,Equipes Weslyn / Xavier / Carlos,Viela 3 / Viela 4 / Viela 5,Barueri,clima,"⚠️ Obs: Produção impactada pela chuva, além de falhas em equipamentos (motor de arranque do caminhão, perfuratriz pneumática e serra clip). Parte da equipe também atuou no reparo de vazamento em rede antiga.",parcial,mensagem_web_20260316_131741.txt,10/03/2026
O0002,F002,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney / Reggis / Equipes Amadeu,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,ocorrencia_operacional,⚠️ Obs: Produção afetada pelo tempo chuvoso. Equipe atuando também na resolução de pendências e execução de novo ramal para imóvel não localizado anteriormente.,parcial,mensagem_web_20260316_131741.txt,10/03/2026
O0003,F003,10/03/2026,Oeste 1,Água Legal,Cerejas,Sidney / Reggis / Equipes Amadeu,Tv. Haitiana / Rua Dezesseis / Tv. do Alemão / Tv. do Bala / Tv. da Bete / Travessa Haitiana,Jandira,clima,⚠️ Obs: Equipe também realizou conferência de leituras de hidrômetros e endereços dos imóveis. Produção impactada pela chuva.,parcial,mensagem_web_20260316_131741.txt,10/03/2026
