id_ocorrencia,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,municipio,tipo_ocorrencia,descricao,impacto_producao,arquivo_origem,data
O0001,F001,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos / Xavier / Weslyn,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,clima,⚠️ Obs: Serviço executado para evitar infiltração em imóveis próximos. Atividades interrompidas posteriormente devido à tempestade ⛈️.,sim,mensagem_web_20260316_132823.txt,12/03/2026
O0002,F002,12/03/2026,Oeste 1,Água Legal,Mississipi,Carlos / Xavier / Weslyn,Viela Seis / Viela Quatro / Viela 4 / Viela 1 / Viela B,Barueri,clima,⚠️ Obs: Não foi possível dar continuidade ao prolongamento da rede devido às chuvas intensas.,sim,mensagem_web_20260316_132823.txt,12/03/2026
O0003,F004,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis / Sidney,Rua Dezesseis,Jandira,clima,⚠️ Obs: Produção impactada devido à chuva.,parcial,mensagem_web_20260316_132823.txt,12/03/2026
O0004,F005,12/03/2026,Oeste 1,Água Legal,Cerejas,Reggis / Sidney,Rua Dezesseis,Jandira,clima,⚠️ Obs: Equipe atuando na resolução de pendências no núcleo. Produção afetada pela chuva.,parcial,mensagem_web_20260316_132823.txt,12/03/2026
