id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem
I0001,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Capeamento de rede,Capeamento de rede,capeamento,servico,1,servico,PVC,Ø100,executado,,consolidado_2026_03_09.txt,Capeamento de rede PVC Ø100: 1 serviço executado
I0002,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Caps utilizados,Caps utilizados,insumo,insumo,2,un,,,,,consolidado_2026_03_09.txt,Caps utilizados: 2
I0003,F001,09/03/2026,Oeste 1,Água Legal,Santa Terezinha,Sidney,Av. Deputado Emílio Carlos,Concretagem de vala realizada,Concretagem de vala,acabamento,servico,1,servico,,,,,consolidado_2026_03_09.txt,Concretagem de vala realizada
I0004,F003,09/03/2026,Oeste 1,Água Legal,Mississipi,Weslyn,Viela Mississipi,Corte de pavimento com serra clip para troca de trecho da rede de esgoto,Corte de pavimento com serra clip,apoio_operacional,apoio_operacional,1,servico,,,,,consolidado_2026_03_09.txt,Corte de pavimento com serra clip para troca de trecho da rede de esgoto.
I0005,F004,09/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Bala / Tv. do Bete,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,6,un,,,,,consolidado_2026_03_09.txt,Intradomiciliares: 6
I0006,F004,09/03/2026,Oeste 1,Água Legal,Cerejas,Reggis,Tv. Haitiana / Tv. do Bala / Tv. do Bete,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,6,un,,,,,consolidado_2026_03_09.txt,Hidrômetros instalados: 6
I0007,F005,09/03/2026,Oeste 1,Água Legal,Cerejas,Amadeu / Maycon / Márcio,Travessa Haitiana / Rua Dezesseis,Caixas UMA instaladas,Instalação de caixas UMA,caixa_uma,servico,1,un,,,,,consolidado_2026_03_09.txt,Caixas UMA instaladas: 1
I0008,F006,09/03/2026,Oeste 1,Água Legal,Vila Dirce,Ezequiel,Recomposição Asfáltica,Recomposição de valas,Recomposição de valas,recomposicao,servico,3,un,,,,,consolidado_2026_03_09.txt,Recomposição de valas: 3
