data_referencia,contrato,programa,nucleo,categoria_item,unidade,tipo_registro,registros,quantidade_total
09/03/2026,Oeste 1,Água Legal,Santa Terezinha,capeamento,servico,servico,1,1
09/03/2026,Oeste 1,Água Legal,Santa Terezinha,insumo,un,insumo,1,2
09/03/2026,Oeste 1,Água Legal,Santa Terezinha,acabamento,servico,servico,1,1
09/03/2026,Oeste 1,Água Legal,Mississipi,apoio_operacional,servico,apoio_operacional,1,1
09/03/2026,Oeste 1,Água Legal,Cerejas,intradomiciliar,un,servico,1,6
09/03/2026,Oeste 1,Água Legal,Cerejas,hidrometro,un,servico,1,6
09/03/2026,Oeste 1,Água Legal,Cerejas,caixa_uma,un,servico,1,1
09/03/2026,Oeste 1,Água Legal,Vila Dirce,recomposicao,un,servico,1,3
