id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,data,municipio
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_200659.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_200659.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_200659.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_200659.txt,Ramais água: 14,28/02/2026,Carapicuíba
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_200659.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba
I0006,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_200659.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba
