id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,municipio,status_frente,observacao_frente,arquivo_origem
F001,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Reggis,Av. Dep. Emílio Carlos / Travessa Haitiana,,producao_parcial,"📌 Obs: Realizados cortes d’água, vistoria de Caixa UMA e reparos de vazamentos.",consolidado_2026_03_03.txt
F002,03/03/2026,Oeste 1,Ãgua Legal,José Bonifácio,Sidomar,"Rua José Bonifácio / Rua Brigadeiro Tobias, nº 159",,producao_parcial,"⚠️ Obs: Equipe direcionada para vistorias de vazamento e verificação de contas altas (Viela Diamante nº 33 / Viela 1 nº 8 / Viela 2 nº 3 / Viela Ametista nº 6), impactando a produtividade.",consolidado_2026_03_03.txt
F003,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Xavier,Viela 2,,producao_parcial,⚠️ Obs: Produtividade impactada pela espera da mangueira do compressor.,consolidado_2026_03_03.txt
F004,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Weslyn,Viela 7,,com_producao,,consolidado_2026_03_03.txt
F005,03/03/2026,Oeste 1,Ãgua Legal,Mississipi,Carlos,Viela 6 / Viela 7,,com_producao,,consolidado_2026_03_03.txt
F006,03/03/2026,Oeste 1,Ãgua Legal,Santa Terezinha,Ezequiel,Recomposição Asfáltica,,com_producao,,consolidado_2026_03_03.txt
