id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,data,municipio,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,servico_bruto,servico_normalizado,servico_oficial,categoria,regra_disparada,municipio_conflitante_sem_cadastro
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_200659.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_200659.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_200659.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_202851.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_202851.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_202851.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_202851.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_202851.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuiba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,1,un,,,,,mensagem_web_20260311_204052.txt,Intradomiciliares: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0002,F001,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,1,un,,,,,mensagem_web_20260311_204052.txt,Hidrômetros instalados: 1,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0003,F002,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,21,m,PEAD,Ø63,,,mensagem_web_20260311_204052.txt,Prolongamento rede água (PEAD Ø63): 21 m,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0004,F003,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Ramais água,Execução de ramais de água,ramal_agua,servico,14,un,,,,,mensagem_web_20260311_204052.txt,Ramais água: 14,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0005,F004,28/02/2026,Oeste 1,Água Legal,Santa Terezinha,Reggis,Av. Deputado Emílio Carlos,Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,3,un,,,,,mensagem_web_20260311_204052.txt,Intradomiciliares: 3,28/02/2026,Carapicuíba,Santa Terezinha,Carapicuíba,Santa Terezinha,Carapicuíba,cadastrado,,,,,,
I0001,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,14,un,,,,,mensagem_web_20260311_214832.txt,✅ Intradomiciliares: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0002,F001,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,14,un,,,,,mensagem_web_20260311_214832.txt,✅ Hidrômetros instalados: 14,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0003,F002,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Ramais água,Execução de ramais de água,ramal_agua,servico,3,un,,,,,mensagem_web_20260311_214832.txt,✅ Ramais água: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0004,F003,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,52,m,PEAD,,,,mensagem_web_20260311_214832.txt,✅ Prolongamento rede água (PEAD Ø63): 52 m,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0005,F004,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Prolongamento rede,Prolongamento de rede,rede_agua,servico,19,m,,Ø63,,,mensagem_web_20260311_214832.txt,✅ Prolongamento rede (Ø63): 19 m,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0006,F005,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,✅ Ramais esgoto,Execução de ramais de esgoto,ramal_esgoto,servico,3,un,,,,,mensagem_web_20260311_214832.txt,✅ Ramais esgoto: 3,27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
I0007,F005,27/02/2026,Oeste 1,Ãgua Legal,Patrocínio,Sidomar,Tv. Rancharia / Rua Rio Tocantins,🧱 Serviço complementar,Instalacao de Caixa de Inspecao,caixa_inspecao,servico,1,servico,,,"Instalação de Caixa de Inspeção (0,80 x 0,80)",,mensagem_web_20260311_214832.txt,"🧱 Serviço complementar: Instalação de Caixa de Inspeção (0,80 x 0,80)",27/02/2026,Carapicuíba,Patrocínio,Carapicuíba,Patrocínio,Carapicuíba,cadastrado,,,,,,
