id_item,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,municipio,item_original,item_normalizado,categoria_item,tipo_registro,quantidade,unidade,material,especificacao,complemento,observacao_item,arquivo_origem,mensagem_origem,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,data
I0001,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,18,m,PEAD,,,,mensagem_web_20260317_193737.txt,✅ Prolongamento rede água (PEAD Ø63): 18 m,Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
I0002,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,✅ Interligação de rede,Execução de interligação de rede de água,interligacao,servico,1,servico,,,1 (Viela Um x Viela Três),,mensagem_web_20260317_193737.txt,✅ Interligação de rede: 1 (Viela Um x Viela Três),Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
I0003,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,✅ Prolongamento rede água,Prolongamento de rede de água,rede_agua,servico,65,m,PEAD,,,,mensagem_web_20260317_193737.txt,✅ Prolongamento rede água (PEAD Ø32): 65 m,Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
I0004,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,✅ Interligação de rede,Execução de interligação de rede de água,interligacao,servico,1,un,,,,,mensagem_web_20260317_193737.txt,✅ Interligação de rede: 1,Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
I0005,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,Barueri,✅ Intradomiciliares,Ligações intradomiciliares,intradomiciliar,servico,5,un,,,,,mensagem_web_20260317_193737.txt,✅ Intradomiciliares: 5,Savoy,Barueri,,,nao_cadastrado,14/03/2026
I0006,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,Barueri,✅ Hidrômetros instalados,Instalação de hidrômetros,hidrometro,servico,5,un,,,,,mensagem_web_20260317_193737.txt,✅ Hidrômetros instalados: 5,Savoy,Barueri,,,nao_cadastrado,14/03/2026
