id_ocorrencia,id_frente,data_referencia,contrato,programa,nucleo,equipe,logradouro,municipio,tipo_ocorrencia,descricao,impacto_producao,arquivo_origem,nucleo_detectado_texto,municipio_detectado_texto,nucleo_oficial,municipio_oficial,nucleo_status_cadastro,data
O0001,F001,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,ocorrencia_operacional,⚠️ Obs: Foi executado contrapiso para evitar infiltração em imóvel próximo.,parcial,mensagem_web_20260317_193737.txt,Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
O0002,F002,14/03/2026,Oeste 1,Água Legal,Mississipi,Xavier,Viela Um / Viela Três,Barueri,ocorrencia_operacional,⚠️ Obs: Equipe reduzida no dia. Aguardando confirmação da viela onde parte do prolongamento foi executado.,parcial,mensagem_web_20260317_193737.txt,Mississipi,Barueri,Mississipi,Barueri,cadastrado,14/03/2026
O0003,F003,14/03/2026,Oeste 1,Água Legal,Savoy,Sidney,Rua General Carneiro,Barueri,ocorrencia_operacional,⚠️ Obs: Equipe atuando na resolução de pendências e com efetivo reduzido.,parcial,mensagem_web_20260317_193737.txt,Savoy,Barueri,,,nao_cadastrado,14/03/2026
